id;name;code;user_type_id/id;chart_template_id/id;reconcile
l10n_dz.pcg_1011;Capital souscrit - non appelé;1011;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1012;Capital souscrit - appelé non versé;1012;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1013;Capital souscrit appelé, versé;1013;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1031;Prime d’émission;1031;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1032;Prime de fusion;1032;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1033;Prime d’apports;1033;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1035;Bons de souscription d’actions (BSA);1035;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_104;Ecart d’évaluation;104;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1051;Ecart de réévaluation sur immobilisations corporelles;1051;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1059;Ecart de réévaluation rapporté au résultat de l’exercice;1059;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1061;Réserve légale;1061;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1062;Réserves réglementées;1062;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1063;Réserves statutaires ou contractuelles;1063;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1064;Réserves ordinaires;1064;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1065;Réserves Spéciales consécutive à l’octroi d’avantages;1065;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1066;Réserves facultatives;1066;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1068;Autres réserves;1068;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_107;Écarts d'équivalence;107;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_108;Compte de l'exploitant;108;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_109;Actionnaires: capital souscrit - non appelé;109;account.data_account_type_equity;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_110;Report à nouveau (bénéfice);110;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_119;Report à nouveau (Déficit);119;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_120;Résultat de l'exercice (bénéfice);120;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_129;Résultat net de l’exercice –(DEFICIT);129;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1311;Subventions d’équipements: Financement;1311;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1312;Subventions d’équipements: Financement d'autres organismes;1312;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1313;Transfert gratuit d’immobilisations;1313;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1319;Subventions inscrites ;1319;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_1321;Subventions d’investissement;1321;account.data_account_type_current_liabilities;l10n_dz.l10n_dz_pcg_chart_template;False
